name,lng,lat
Puskesmas,115.2346988864,-8.7255469653
Puskesmas 1 Denpasar Barat,115.1991254271,-8.6635491672
Puskesmas Pembantu,115.187309344,-8.653121025
Puskesmas 2 Denpasar Timur,115.2446387787,-8.6143854542
PUSKESMAS 1 DENPASAR UTARA,115.2242824742,-8.6524331189
PUSKESMAS 1 DENPASAR,115.2345589977,-8.6498746576
Puskesmas I Denpasar Timur,115.2399583581,-8.6610432883
Puskesmas Pembantu Kelurahan P,115.2263966054,-8.6838696287
Puskesmas IV Denpasar Selatan,115.2099755881,-8.6953265352
Puskesmas I Denpasar Selatan,115.2179467825,-8.7043385177
Puskesmas Pembantu Desa Sidaka,115.2344040073,-8.7031813461
Puskesmas II Denpasar Selatan,115.2572422049,-8.6831011734
Puskesmas Pembantu Desa Kesima,115.2676931765,-8.6435604712
Puskesmas Pembantu Padangsambi,115.1842429608,-8.6203298529
Puskesmas Pembantu II Denpasar,115.2024904524,-8.6227410797
Puskesmas Pembantu Tonja,115.2235544101,-8.6255482228
Puskesmas Pembantu Kelurahan U,115.2023059337,-8.6321914171
